score	1380	1345	1215	1350
score	1570	1365	1250	915
score	1085	1970	1420	1200
score	2035	1205	1550	600
score	1710	925	710	1990
score	595	1370	1825	1645
score	510	1450	1960	1775
score	1090	3030	690	1670
score	1015	1165	2170	1105
score	1525	1775	1040	660
score	1685	1505	720	2035
score	1895	2240	1910	465
score	1505	1495	1225	1115
score	1290	405	2250	1020
score	1480	1190	1190	970
score	1350	1500	1595	775
score	1045	1045	2760	795
score	1060	1850	670	1260
score	2085	1585	1220	830
score	1425	1185	1780	1485
score	1475	1055	1390	1070
score	925	805	1795	1770
score	1020	835	1560	2070
score	615	2580	1840	810
score	1600	1890	1050	740
score	1540	2250	830	895
score	1870	1070	1305	1835
score	1565	1890	1035	1175
score	875	1335	2910	910
score	1630	1785	695	815
score	1135	1880	770	955
score	1770	685	985	1665
score	870	1685	1065	1940
score	1135	1830	1305	1230
score	2535	1155	1040	750
score	1840	1775	810	785
score	1050	655	2575	645
score	1430	2235	1125	1300
score	1120	2565	1090	690
score	1570	1755	2065	360
score	1220	1405	1760	950
score	1915	1320	1380	500
score	1650	2310	1215	870
score	1060	1365	1940	1540
score	1660	890	950	1875
score	1755	1720	1785	770
score	770	1415	2320	610
score	1065	1190	1465	895
score	895	1815	1345	1310
score	1560	1695	1215	1495
score	545	1085	2055	1040
score	2190	940	1635	500
score	1225	985	2935	590
score	1685	2730	1085	440
score	1010	1270	1840	2025
score	1585	850	2900	560
score	1615	950	1505	1290
score	875	1365	2275	1495
score	1240	2445	1220	870
score	615	1680	2080	1080
score	1255	550	2160	1495
score	1975	1650	920	1175
score	955	1125	1365	1430
score	890	1330	1040	1450
score	1640	1360	910	1125
score	1075	705	1080	2575
score	375	990	2140	1195
score	585	1820	1375	2055
score	1410	1825	915	1445
score	945	2670	735	975
score	1265	2090	1135	835
score	855	1120	1235	1960
score	2315	1225	485	1145
score	1010	1115	1605	1145
score	890	1585	2085	585
score	1210	2010	1030	1395
score	1400	780	435	2425
score	1530	1460	425	1730
score	1190	1305	1285	1185
score	1075	1790	1650	1045
score	2455	1505	985	940
score	1105	1425	1030	1850
score	1850	2245	680	1515
score	1870	1635	840	285
score	1190	2055	730	1665
score	1160	820	1610	1405
score	1290	895	1290	1660
score	1380	2090	1765	645
score	865	1615	1055	925
score	1110	1770	785	1360
score	1290	1265	745	1205
score	1335	1740	945	690
score	320	1010	1415	2100
score	1205	940	1295	1305
score	1710	950	915	2145
score	1095	2285	1355	895
score	1425	655	805	1805
score	1060	1300	1015	1075
score	300	2395	1725	1900
score	2115	1635	755	725
score	1525	1540	1670	695
score	1095	1950	1840	630
score	1010	1890	1350	895
score	1105	2105	1730	1020
score	805	1255	1515	1365
score	1250	1090	980	2350
score	780	1245	2090	1695
score	1180	935	1395	695
score	2320	1360	1450	1310
score	1895	1400	825	1010
score	1080	660	1395	2005
score	1150	1425	1805	1325
score	2065	570	1325	1005
score	1390	1290	1840	890
score	930	2380	1085	845
score	1115	945	1865	945
score	1580	640	1845	1205
score	1520	830	2020	2015
score	1545	730	1045	1815
score	1050	1645	1755	1235
score	1800	1155	1060	1330
score	1660	965	1675	1320
score	920	1700	1210	1895
score	1020	885	1300	1545
score	1550	2140	750	700
score	2410	1530	1010	1295
score	1235	1200	2035	1495
score	1660	2275	905	890
score	1900	1335	670	1905
score	580	1100	2195	2035
score	1040	745	1220	2435
score	1365	1240	1000	2405
score	880	2490	1705	935
score	1125	1480	630	2160
score	805	1290	1715	1635
score	1760	2315	810	535
score	2020	1360	725	1465
score	1365	1410	1170	1725
score	1915	1770	1260	1440
score	660	1725	720	2375
score	850	1395	1390	1160
score	435	870	1980	1360
score	2325	1200	530	1605
score	1175	1955	1025	905
score	730	865	1260	2940
score	1365	1100	885	1600
score	1255	1230	1700	1150
score	570	1250	1695	1605
score	975	1045	2075	1490
score	1440	1730	1720	525
score	1020	1450	975	1105
score	1270	1580	1190	2015
score	1865	800	1115	1140
score	845	1300	1090	1565
score	975	1020	1035	2435
score	1020	1750	865	2020
score	1540	1530	2265	370
score	1055	985	2160	760
score	1345	1510	865	1480
score	1005	1255	2170	1215
score	315	1615	1180	1700
score	1415	1495	990	1175
score	1315	1690	1285	580
score	835	1420	1960	1190
score	745	1720	1210	1620
score	1355	1530	1025	945
score	1035	930	1920	680
score	1135	1205	1190	1210
score	1520	1855	2590	235
score	885	1275	1930	1250
score	890	3020	980	870
score	675	2030	1180	2270
score	2345	805	1495	920
score	940	1165	1370	820
score	1205	1515	1425	1735
score	1230	1220	1300	1330
score	1880	880	800	1945
score	915	2015	865	1735
score	2115	1060	1375	495
score	1265	1920	815	1720
score	1670	855	1095	1875
score	1785	1325	1420	725
score	1430	1870	1620	1140
score	1205	1430	1195	1070
score	1895	1325	1695	805
score	1200	1345	1750	1120
score	580	740	1560	2535
score	1265	930	635	2620
score	1050	1315	1705	1050
score	1095	1035	1150	1640
score	1125	1260	840	2200
score	1780	1760	660	1365
score	1150	1960	1315	590
score	1655	1355	1535	340
score	535	1770	1360	1445
score	740	1200	1275	2755
score	990	2285	1165	1765
score	670	2755	835	1595
score	1005	1620	1610	1430
score	930	2355	1610	845
